"time" "mean" "sd" "sem" "source"
"103" 230 7.05258387249757 0.0527365271112242 0.0263682635556121 "df_56"
"104" 240 7.05106796863054 0.0471777878861297 0.0235888939430648 "df_56"
"105" 250 7.04900998739743 0.0476322469155004 0.0238161234577502 "df_56"
"106" 260 7.04802656092082 0.0470667711128728 0.0235333855564364 "df_56"
"107" 270 7.04040420298349 0.0470519325407584 0.0235259662703792 "df_56"
"108" 280 7.03117306756976 0.0502192689665374 0.0251096344832687 "df_56"
"109" 290 7.02864746999732 0.0515286499183068 0.0257643249591534 "df_56"
"110" 300 7.02884973572171 0.0492608639650457 0.0246304319825228 "df_56"
"111" 310 7.02700425485339 0.0487848456869263 0.0243924228434631 "df_56"
"112" 320 7.01892118917979 0.0453732208230126 0.0226866104115063 "df_56"
"113" 330 7.01736261465284 0.0440852078282361 0.022042603914118 "df_56"
"114" 340 7.00931229782732 0.0440213751541915 0.0220106875770957 "df_56"
"115" 350 7.01367122527279 0.0591229519783368 0.0295614759891684 "df_56"
"116" 360 7.00056156422581 0.05638969309021 0.028194846545105 "df_56"
"117" 370 7.01562605150103 0.0519270007903433 0.0259635003951717 "df_56"
"118" 380 7.01682121404766 0.0574982065105649 0.0287491032552825 "df_56"
"119" 390 7.01394692344403 0.0561119476930362 0.0280559738465181 "df_56"
"120" 400 7.00723599717734 0.0555684274405056 0.0277842137202528 "df_56"
"121" 410 6.99710651156568 0.0589533589285746 0.0294766794642873 "df_56"
"122" 420 6.81298437556819 0.0880374834673039 0.044018741733652 "df_56"
"123" 430 7.19677665522803 0.0337385634792614 0.0168692817396307 "df_56"
"124" 440 7.19617317049792 0.0346651377253203 0.0173325688626602 "df_56"
"125" 450 7.20437771257072 0.0402302524717628 0.0201151262358814 "df_56"
"126" 460 7.21413938416615 0.0466916848127863 0.0233458424063932 "df_56"
"127" 470 7.21575916482058 0.0412480958788172 0.0206240479394086 "df_56"
"128" 480 7.22793974388983 0.0379796508435256 0.0189898254217628 "df_56"
"129" 490 7.24075551411482 0.0524381662356002 0.0262190831178001 "df_56"
"130" 500 7.26659383519898 0.0467836417479254 0.0233918208739627 "df_56"
"131" 510 7.27634343043833 0.05346493984344 0.02673246992172 "df_56"
"132" 520 7.28704162005148 0.0476956171302261 0.023847808565113 "df_56"
"133" 530 7.29544178871031 0.0499364891299897 0.0249682445649949 "df_56"
"134" 540 7.30298221276813 0.0503989016987567 0.0251994508493783 "df_56"
"135" 550 7.31465384752338 0.0475750924315616 0.0237875462157808 "df_56"
"136" 560 7.31222843673392 0.0418051339488826 0.0209025669744413 "df_56"
"137" 570 7.31841710714061 0.0570344468442136 0.0285172234221068 "df_56"
"138" 580 7.32947936232424 0.0508164010141824 0.0254082005070912 "df_56"
"139" 590 7.32968644263005 0.0514925027195259 0.0257462513597629 "df_56"
"140" 600 7.31547478553054 0.0557597866159801 0.02787989330799 "df_56"
"141" 610 7.31643487181604 0.0504441610609083 0.0252220805304542 "df_56"
"142" 620 7.32117571942884 0.0571615427755809 0.0285807713877904 "df_56"
"143" 630 7.32411689001895 0.0581141301343721 0.0290570650671861 "df_56"
"144" 640 7.33225556892676 0.0603156743579997 0.0301578371789998 "df_56"
"145" 650 7.34372806275306 0.0547329871565223 0.0273664935782611 "df_56"
"146" 660 7.33234706693435 0.0554877416541023 0.0277438708270511 "df_56"
"147" 670 7.36189311797466 0.0542645012889477 0.0271322506444738 "df_56"
"148" 680 7.37873763159643 0.0478991990636815 0.0239495995318407 "df_56"
"149" 690 7.36678227547514 0.0546587780954935 0.0273293890477467 "df_56"
"150" 700 7.37067203856104 0.0540202734970921 0.0270101367485461 "df_56"
"151" 710 7.37911026466189 0.0534910032933919 0.026745501646696 "df_56"
"152" 720 7.38985726427153 0.0453728541136321 0.0226864270568161 "df_56"
"153" 730 7.3801729518462 0.0377778484726354 0.0188889242363177 "df_56"
"154" 740 7.5105493365959 0.0221169283116058 0.0110584641558029 "df_56"
"155" 750 7.49380444653126 0.0203056829079391 0.0101528414539695 "df_56"
"156" 760 7.48844190781054 0.019383310961172 0.009691655480586 "df_56"
"157" 770 7.48046418475179 0.0304019143434647 0.0152009571717324 "df_56"
"158" 780 7.32732261319189 0.0368879944734961 0.0184439972367481 "df_56"
